,สิ่งของ,,ฟังก์ชัน,,ทาร์เก็ต
247,เสื้อกันฝน,247,ทำให้การสื่อสารเร็วขึ้น   ,,
248,กล่องอาหารกลางวัน,248,ทำให้การหาข้อมูลได้เร็วขึ้น   ,,
249,จานรองถ้วย,249,ทำให้การออกกำลังกายสะดวกขึ้น  ,,
250,ตู้ลิ้นชัก,250,ทำให้การออกแบบการใช้พลังงานสะดวกขึ้น    ,,
251,ปากกาดำ,251,ทำให้การออกแบบสะดวกขึ้น   ,,
252,คาร์ทริดจ์หมึก,252,ทำให้ทำการซ่อมแซมง่ายขึ้น  ,,
253,หมวกบาสเก็ตบอล,253,ทำให้มีพื้นที่ใช้สอยมากขึ้น   ,,
254,ลูกโป่งยาง,254,ทำให้สะดวกในการช้อปปิ้ง  ,,
255,หูฟังไร้สาย,255,ทำให้สามารถเข้าถึงได้ง่ายขึ้น  ,,
256,กรอบกระดาษ,256,ปรับสภาพแวดล้อมให้เหมาะสม  ,,
257,กล่องใส่เครื่องประดับ,257,พัฒนาการทำงานตามสายอาชีพ,,
258,ถุงใส่ขยะ,258,พัฒนาทักษะในสายอาชีพ,,
259,ถุงมือหนัง,259,เพิ่มการเข้าถึงข้อมูลสำคัญ     ,,
260,เครื่องเล่นเกมส์,260,เพิ่มการจัดการอารมณ์   ,,
261,เครื่องคำนวณ,261,เพิ่มการป้องกันความเสี่ยง   ,,
262,โซฟาเบด,262,เพิ่มการผ่อนคลาย  ,,
263,ชุดฟิตเนส,263,เพิ่มความพึงพอใจในการใช้งาน,,
264,ตู้หนังสือ,264,เพิ่มความสะดวกในการกำหนดเป้าหมาย   ,,
265,โคมไฟตั้งโต๊ะ,265,เพิ่มความสะดวกในการขนส่งสินค้า   ,,
266,ป้ายบอกทาง,266,เพิ่มความสะดวกในการเข้าถึงข้อมูลสำคัญ     ,,
267,กะทะ,267,เพิ่มความสะดวกในการเข้าถึงบริการ   ,,
268,ถ้วยพลาสติก,268,เพิ่มความสะดวกในการค้นหาข้อมูล   ,,
269,ชุดทำความสะอาด,269,เพิ่มความสะดวกในการค้นหาความรู้ใหม่ ๆ    ,,
270,แผ่นบันทึกเสียง,270,เพิ่มความสะดวกในการค้นหาสถานที่   ,,
271,กรวยน้ำมัน,271,เพิ่มความสะดวกในการจัดการการผลิตสินค้า   ,,
272,ผ้าห่ม,272,เพิ่มความสะดวกในการจัดการคำสั่งซื้อ   ,,
273,ไม้เชือก,273,เพิ่มความสะดวกในการจัดการงานบ้าน   ,,
274,เชือกโยง,274,เพิ่มความสะดวกในการจัดการทรัพยากร   ,,
275,เครื่องเขียน,275,เพิ่มความสะดวกในการจัดการโปรเจ็กต์   ,,
276,เสื้อคลุม,276,เพิ่มความสะดวกในการจัดการไฟล์บนคอมพิวเตอร์     ,,
277,ที่เปิดกระป๋อง,277,เพิ่มความสะดวกในการจัดการไฟล์บนคอมพิวเตอร์     ,,
278,ถุงมือสกี,278,เพิ่มความสะดวกในการจัดการเวลาที่ใช้ในการทำงาน     ,,
279,ที่นั่งสนาม,279,เพิ่มความสะดวกในการจัดการเอกสารออนไลน์    ,,
280,ตุ๊กตาผ้า,280,เพิ่มความสะดวกในการจัดเก็บเอกสาร   ,,
281,ยางรถยนต์,281,เพิ่มความสะดวกในการจัดเตรียมการนำเสนอ   ,,
282,กล่องเครื่องมือช่าง,282,เพิ่มความสะดวกในการชาร์จอุปกรณ์   ,,
283,กระเป๋าเป้สะพายหลัง,283,เพิ่มความสะดวกในการชำระเงินออนไลน์   ,,
284,ป้ายเตือนภัย,284,เพิ่มความสะดวกในการเชื่อมต่อกับผู้ให้บริการ    ,,
285,ร่มสนาม,285,เพิ่มความสะดวกในการใช้งานโซเชียลมีเดีย    ,,
286,โต๊ะเก้าอี้พลาสติก,286,เพิ่มความสะดวกในการใช้บริการสาธารณะ    ,,
287,เครื่องนวด,287,เพิ่มความสะดวกในการเดินทางข้ามประเทศ   ,,
288,เตียงพับได้,288,เพิ่มความสะดวกในการตรวจสอบความเสถียรของระบบ    ,,
289,ตู้เสื้อผ้า,289,เพิ่มความสะดวกในการตรวจสอบระดับสุขภาพ    ,,
290,ตะกร้าผลไม้,290,เพิ่มความสะดวกในการตรวจสอบสถานะ   ,,
291,ช้อนส้อมพลาสติก,291,เพิ่มความสะดวกในการตรวจสอบสถานะของระบบ    ,,
292,กระเป๋าเครื่องสำอาง,292,เพิ่มความสะดวกในการตั้งเป้าหมาย   ,,
293,กล่องใส่ของ,293,เพิ่มความสะดวกในการติดตามการออกกำลังกาย   ,,
294,หม้อ,294,เพิ่มความสะดวกในการติดตามประสิทธิภาพการเรียน    ,,
295,เครื่องชงกาแฟ,295,เพิ่มความสะดวกในการติดตามสถานะการสั่งซื้อ    ,,
296,เข็มขัด,296,เพิ่มความสะดวกในการติดตามอุณหภูมิภายในห้อง    ,,
297,แปรงหวีผม,297,เพิ่มความสะดวกในการทำงานร่วมกับลูกทีม   ,,
298,เครื่องตัดกระดาษ,298,เพิ่มความสะดวกในการทำงานร่วมกับลูกทีม   ,,
299,ถุงนอน,299,เพิ่มความสะดวกในการทำรายการซื้อของ    ,,
300,หมวกว่ายน้ำ,300,เพิ่มความสะดวกในการทำให้โครงการสำเร็จลุล่วง   ,,
301,ตู้เย็นขนาดเล็ก,301,เพิ่มความสะดวกในการบริหารจัดการโครงการพัฒนา    ,,
302,เตารีดไอน้ำ,302,เพิ่มความสะดวกในการบริหารจัดการเวลา   ,,
303,แป้งทาหน้า,303,เพิ่มความสะดวกในการบันทึกเสียง   ,,
304,ลูกเหล็ก,304,เพิ่มความสะดวกในการประสานงานในองค์กร   ,,
305,แผ่นพับ,305,เพิ่มความสะดวกในการปรับแต่งการตั้งค่าอุปกรณ์มือถือ     ,,
306,เชือกยาง,306,เพิ่มความสะดวกในการปรับแต่งอุปกรณ์   ,,
307,ผ้าขนหนูขนาดเล็ก,307,เพิ่มความสะดวกในการปรับเปลี่ยนการตั้งค่าอุปกรณ์    ,,
308,ถังน้ำ,308,เพิ่มความสะดวกในการพกพา  ,,
309,ขวดโหล,309,เพิ่มความสะดวกในการแยกแยะข้อมูลสำคัญ     ,,
310,ที่คว่ำจาน,310,เพิ่มความสะดวกในการรับส่งข้อมูล   ,,
311,ปั๊มลม,311,เพิ่มความสะดวกในการเรียนรู้ออนไลน์   ,,
312,เตาไมโครเวฟ,312,เพิ่มความสะดวกในการเลือกเครื่องมือการผลิต    ,,
313,ถุงเท้าผ้า,313,เพิ่มความสะดวกในการเลือกสินค้าสำหรับการใช้งานส่วนตัว    ,,
314,เครื่องคิดเลขพกพา,314,เพิ่มความสะดวกในการวางแผนกิจกรรม   ,,
315,ถุงใส่รองเท้า,315,เพิ่มความสะดวกในการวิเคราะห์ข้อมูลเชิงลึก    ,,
316,เครื่องบดกาแฟ,316,เพิ่มความสะดวกในการวิเคราะห์ผลลัพธ์ทางการตลาด   ,,
317,ปลั๊กไฟสามตา,317,เพิ่มความสะดวกในการสร้างความร่วมมือระหว่างทีม   ,,
318,หมอนรองคอ,318,เพิ่มความสะดวกในการสร้างระบบอัตโนมัติ    ,,
319,พรมเช็ดเท้า,319,เพิ่มความสะดวกในการสั่งงานเครื่องจักร   ,,
320,เครื่องแต่งหน้า,320,เพิ่มความสะดวกในการสั่งซื้อสินค้า  ,,
321,ไม้ยืด,321,เพิ่มความสะดวกในการสื่อสารกับผู้ให้คำแนะนำออนไลน์    ,,
322,แผ่นฟิล์มกันน้ำ,322,เพิ่มความสะดวกในการสื่อสารผ่านช่องทางต่าง ๆ   ,,
323,โต๊ะทำงาน,323,เพิ่มความสะดวกในการหาความรู้   ,,
324,แปรงทาผนัง,324,เพิ่มความสะดวกในการหาเส้นทาง  ,,
325,เครื่องฟอกอากาศ,325,เพิ่มความสะดวกในการออกแบบระบบต่าง ๆ   ,,
326,ถุงพลาสติก,326,เพิ่มประสิทธิภาพในการเรียน   ,,
327,เข็มทิศ,327,ลดการรบกวน  ,,
328,ม้านั่งสวน,328,ลดการสูญเสียข้อมูล   ,,
329,หมวกเบสบอล,329,ลดความเครียดจากการทำงาน   ,,
330,รองเท้าบูท,330,ลดความเสี่ยง  ,,
331,ผ้าปูโต๊ะ,331,ลดภาระทางร่างกาย   ,,
332,กรรไกรตัดผม,332,ลดเสียงรบกวน  ,,
333,เครื่องเล่นซีดี,333,สร้างความเป็นระเบียบ  ,,
334,โทรศัพท์สำนักงาน,334,สร้างความเป็นส่วนตัว  ,,
335,แฟ้มเอกสาร,335,สร้างบรรยากาศดี   ,,
336,สก็อตเทป,336,สร้างบรรยากาศที่ดีในการทำงาน    ,,
337,ดินสอ,337,สร้างแรงบันดาลใจ  ,,
338,เครื่องถ่ายเอกสาร,338,เสริมการติดต่อสื่อสาร  ,,
339,ปฏิทิน,339,เสริมความปลอดภัย  ,,
340,สมุดบันทึก,340,เสริมความยืดหยุ่นในการทำงาน   ,,
341,พวงกุญแจสำนักงาน,341,เสริมสร้างการเชื่อมโยงกับผู้คน   ,,
342,กล่องเก็บเอกสาร,342,ให้การสนับสนุนทางจิตใจ   ,,
343,กระดาษรีไซเคิล,343,ให้ความช่วยเหลือฉุกเฉิน   ,,
344,ป้ายกำกับ,344,ให้ความสะดวกในการเดินทาง  ,,
345,กระดาษซองจดหมาย,345,ให้แสงสว่าง ,,
346,แท่นวางคอมพิวเตอร์,346,อำนวยความสะดวกในการทำอาหาร  ,,
347,กระเป๋าใส่เอกสาร,,,,
348,ตะกร้าขยะ,,,,
349,ป้ายเตือน,,,,
350,ราวแขวนเสื้อ,,,,
351,กระดาษสี,,,,
352,สติกเกอร์,,,,
353,ที่เก็บปากกา,,,,
354,ปากกาเขียนกระดานไวท์บอร์ด,,,,
355,เครื่องตั้งเวลา,,,,
356,ลำโพง,,,,
357,เครื่องสแกนเอกสาร,,,,
358,ตู้เก็บเอกสาร,,,,
359,เรือใบ,,,,
360,ทุ่นลอยน้ำ,,,,
361,ห่วงยาง,,,,
362,กระดานโต้คลื่น,,,,
363,เครื่องดำน้ำ,,,,
364,สมอเรือ,,,,
365,แว่นตาดำน้ำ,,,,
366,หมวกกันแดด,,,,
367,ร่มชายหาด,,,,
368,ตาข่ายจับปลา,,,,
369,เชือกทะเล,,,,
370,แผนที่ทะเล,,,,
371,เครื่องมือดำน้ำ,,,,
372,กล้องส่องทางไกล,,,,
373,หินทะเล,,,,
374,พายเรือ,,,,
375,เสื้อชูชีพ,,,,
376,กระติกน้ำทะเล,,,,
377,เกาะ,,,,
378,เตียงชายหาด,,,,
379,กระเป๋าชายหาด,,,,
380,ท่าเรือ,,,,
381,ดวงอาทิตย์,,,,
382,แว่นตากันแดด,,,,
383,เสื้อคลุมชายหาด,,,,
384,เต็นท์,,,,
385,แผนที่,,,,
386,ไฟแคมป์,,,,
387,หม้อทำอาหาร,,,,
388,เตาปิ้งย่าง,,,,
389,เก้าอี้แคมป์,,,,
390,ชุดปฐมพยาบาล,,,,
391,เครื่องกรองน้ำ,,,,
392,เตาอุ่นอาหาร,,,,
393,ปิ่นโต,,,,
394,กระเป๋าเดินป่า,,,,
395,ถุงมือเดินป่า,,,,
396,รองเท้าปีนเขา,,,,
397,แผ่นรองนอน,,,,
398,กระป๋องอาหาร,,,,
399,หม้อหุงข้าวแคมป์,,,,
400,ถังขยะพกพา,,,,
401,หลอดไฟพกพา,,,,
402,ร่มขนาดเล็ก,,,,
403,ขวดน้ำพกพา,,,,
404,กางเกงเดินป่า,,,,
405,ม้านั่งไม้,,,,
406,หมวกผ้าพันคอ,,,,
407,กระติกน้ำทะเล,,,,
408,เตียงชายหาด,,,,
409,กระเป๋าชายหาด,,,,
410,ท่าเรือ,,,,
411,ดวงอาทิตย์,,,,
412,แว่นตากันแดด,,,,
413,เสื้อคลุมชายหาด,,,,
414,เข็มทิศ,,,,
415,เต็นท์,,,,
416,ถุงนอน,,,,
417,แผนที่,,,,
418,ไฟแคมป์,,,,
419,ไม้ขีดไฟ,,,,
420,ไฟฉาย,,,,
421,กระเป๋าเดินทาง,,,,
422,หม้อทำอาหาร,,,,
423,เตาปิ้งย่าง,,,,
424,ตะเกียง,,,,
425,เก้าอี้แคมป์,,,,
426,หมวกกันแดด,,,,
427,ชุดปฐมพยาบาล,,,,
428,เชือก,,,,
429,เสื้อกันฝน,,,,
430,เครื่องกรองน้ำ,,,,
431,แปรงสีฟัน,,,,
432,ขวดน้ำ,,,,
433,เครื่องมือทำสวน,,,,
434,เตาอุ่นอาหาร,,,,
435,กระติกน้ำร้อน,,,,
436,ปิ่นโต,,,,
437,กระเป๋าเดินป่า,,,,
438,แว่นตากันแดด,,,,
439,ถุงมือเดินป่า,,,,
440,รองเท้าปีนเขา,,,,
441,แผ่นรองนอน,,,,
442,กระป๋องอาหาร,,,,
443,หม้อหุงข้าวแคมป์,,,,
444,ถังขยะพกพา,,,,
445,หลอดไฟพกพา,,,,
446,ร่มขนาดเล็ก,,,,
447,ขวดน้ำพกพา,,,,
448,กางเกงเดินป่า,,,,
449,ม้านั่งไม้,,,,
450,หมวกผ้าพันคอ,,,,
